id,date,average_daily_flow_m3/s,average_daily_consumption_m3/s,water_volume_billion.m3,cloud,rainfall,tem_day,tem_night
166,16.08.2021,461,357,"11,948.00",1,2,30.0,16.7
167,14.08.2021,448,396,"11,931.75",35,1,30.5,17.5
168,13.08.2021,486,434,"11,927.25",35,0,34.0,18.5
169,12.08.2021,482,436,"11,922.75",5,0,36.0,19.5
170,11.08.2021,464,412,"11,918.25",1,0,36.5,18.5
171,10.08.2021,449,397,"11,913.75",0,0,35.5,18.5
172,09.08.2021,466,414,"11,909.25",0,0,37.5,20.5
173,08.08.2021,473,421,"11,904.75",15,0,36.5,20.0
174,07.08.2021,493,441,"11,900.25",35,0,35.5,17.5
175,06.08.2021,503,425,"11,895.75",6,0,35.5,19.0
176,05.08.2021,591,461,"11,889.00",18,0,36.0,19.5
177,04.08.2021,685,451,"11,877.75",11,0,37.5,19.5
178,03.08.2021,793,328,"11,857.54",34,0,36.5,19.5
179,02.08.2021,828,312,"11,817.40",15,0,36.0,24.5
180,01.08.2021,784,474,"11,772.80",31,0,36.5,22.0
181,31.07.2021,708,476,"11,746.04",20,0,36.5,21.5
182,30.07.2021,603,448,"11,725.97",9,0,34.0,22.5
183,29.07.2021,605,450,"11,712.59",36,0,37.0,23.5
184,28.07.2021,632,451,"11,699.21",5,0,37.0,24.5
185,27.07.2021,654,473,"11,683.60",4,0,38.5,24.0
186,26.07.2021,643,462,"11,667.99",0,0,41.5,24.5
187,25.07.2021,604,475,"11,652.38",0,0,42.0,25.0
188,24.07.2021,600,472,"11,641.23",1,0,39.5,24.0
189,23.07.2021,656,451,"11,630.16",7,0,37.0,20.0
190,22.07.2021,644,388,"11,612.48",2,0,34.5,21.0
191,21.07.2021,654,424,"11,590.38",9,0,32.5,20.5
192,20.07.2021,701,445,"11,570.49",37,1,34.5,20.5
193,19.07.2021,761,480,"11,548.39",11,0,33.5,19.5
194,18.07.2021,775,417,"11,524.08",61,1,29.5,20.0
195,17.07.2021,701,394,"11,493.14",47,2,27.0,15.0
196,16.07.2021,780,396,"11,466.62",49,2,26.5,19.5
197,14.07.2021,753,346,"11,396.00",38,1,33.0,17.0
198,13.07.2021,814,407,"11,360.80",61,5,28.5,18.5
199,12.07.2021,853,420,"11,325.60",79,18,28.0,15.5
200,11.07.2021,734,301,"11,288.20",14,0,34.5,20.5
201,10.07.2021,676,320,"11,250.80",48,3,35.0,24.5
202,09.07.2021,621,417,"11,220.00",2,0,41.0,25.5
203,08.07.2021,621,393,"11,202.40",0,0,40.5,24.0
204,07.07.2021,594,417,"11,182.74",1,0,39.5,22.5
205,06.07.2021,630,428,"11,167.48",23,0,39.0,23.0
206,05.07.2021,593,416,"11,150.04",5,0,40.0,21.5
207,04.07.2021,558,381,"11,134.78",1,0,38.5,21.0
208,03.07.2021,596,414,"11,119.52",21,0,37.0,20.5
209,02.07.2021,601,374,"11,104.26",33,0,33.5,22.0
210,01.07.2021,642,364,"11,084.64",19,0,36.5,22.0
211,30.06.2021,719,391,"11,060.66",16,0,37.5,19.0
212,29.06.2021,715,412,"11,032.32",17,0,37.5,19.0
213,28.06.2021,590,413,"11,006.16",6,0,37.5,18.5
214,27.06.2021,591,340,"10,990.90",1,0,35.5,16.0
215,26.06.2021,658,358,"10,960.20",1,0,32.0,15.0
216,25.06.2021,560,385,"10,943.28",3,0,33.0,15.5
217,24.06.2021,508,433,"10,928.16",0,0,33.5,15.5
218,23.06.2021,484,409,"10,921.68",1,0,32.0,15.5
219,22.06.2021,478,428,"10,915.20",10,0,32.5,14.0
220,21.06.2021,471,421,"10,910.88",0,0,33.0,14.5
221,20.06.2021,486,461,"10,906.56",1,0,32.0,16.0
222,19.06.2021,458,433,"10,904.40",9,0,33.0,15.5
223,18.06.2021,550,425,"10,902.24",20,0,33.5,16.5
224,17.06.2021,637,437,"10,891.44",2,0,33.0,14.0
225,16.06.2021,762,412,"10,874.16",0,0,31.5,13.5
226,15.06.2021,857,407,"10,843.92",48,1,29.5,14.0
227,14.06.2021,829,379,"10,805.04",24,2,30.0,14.5
228,13.06.2021,908,460,"10,766.16",38,1,30.0,15.0
229,12.06.2021,915,417,"10,727.45",41,1,31.5,16.5
230,11.06.2021,1004,407,"10,684.45",3,0,32.5,17.5
231,10.06.2021,994,397,"10,632.85",27,5,31.5,16.5
232,09.06.2021,895,398,"10,581.25",47,0,32.5,17.0
233,08.06.2021,837,393,"10,538.35",56,1,29.5,17.5
234,07.06.2021,859,415,"10,500.01",44,0,36.5,20.5
